case_name,evidence_type,description
"Downtown Apartment Murder",Weapon,"Handgun with fingerprints"
"Downtown Apartment Murder","CCTV Footage","Security camera footage of suspect entering the building"
"Highway Robbery Incident","Stolen Wallet","Victim’s wallet found near highway"
"Corporate Fraud Case","Financial Documents","Fraudulent contracts discovered"
"Park Assault Case","Bloody Shirt","Shirt found in trash bin"
"Suburban Homicide",Rope,"Used to strangle the victim"
"Bank Robbery","Security Camera Footage","Shows masked robbers"
"Domestic Dispute Turned Murder",Knife,"Murder weapon"
"Hit and Run Assault","Car Tire Marks","Skid marks matching suspect vehicle"
"Pension Fund Fraud","Poison Bottle","Found in victim’s office"
