message_id,message_text,media_type
1,"Hey Priya! How are you?",text
2,"Let’s catch up this weekend!",text
3,"Happy Birthday Sneha!",text
4,"Check out this new movie trailer!",video
5,"Hey Meera, long time no see!",text
6,"Look at this amazing sunset!",photo
7,"Did you complete the project?",text
8,"New year party plans?",photo
9,"Watch this hilarious meme!",video
10,"Meeting at 3 PM confirmed.",text
11,"This song is a vibe!",video
12,"Birthday celebration pics!",photo
13,"Want to go trekking?",text
14,"Check this out!",photo
15,"Good morning! Have a great day!",text
